strategy,workload,threads,dataset_size,repetition,throughput_ops_sec
fine,insert,16,100000,2,10171491.34
fine,insert,16,100000,3,9070952.99
fine,insert,16,100000,4,9471311.4
fine,insert,16,100000,5,6290811.64
fine,insert,16,500000,1,852465.21
fine,insert,16,500000,2,822311.08
fine,insert,16,500000,3,891810.7
fine,insert,16,500000,4,908938.37
fine,insert,16,500000,5,855882.56
fine,insert,16,1000000,1,351710.33
fine,insert,16,1000000,2,338962.22
fine,insert,16,1000000,3,319487.67
fine,insert,16,1000000,4,288175.39
fine,insert,16,1000000,5,295313.75
fine,lookup,1,10000,1,23337222.87
fine,lookup,1,10000,2,23430178.07
fine,lookup,1,10000,3,23288309.27
fine,lookup,1,10000,4,24900398.41
fine,lookup,1,10000,5,28042624.79
fine,lookup,1,50000,1,3869340.12
fine,lookup,1,50000,2,3619097.25
fine,lookup,1,50000,3,3442862.26
fine,lookup,1,50000,4,3942968.9
fine,lookup,1,50000,5,3823506.92
fine,lookup,1,100000,1,1562199.76
fine,lookup,1,100000,2,1688060.01
fine,lookup,1,100000,3,1618673.01
fine,lookup,1,100000,4,1565839.64
fine,lookup,1,100000,5,1626571.67
fine,lookup,1,500000,1,45128.49
fine,lookup,1,500000,2,66513.18
fine,lookup,1,500000,3,70339.7
fine,lookup,1,500000,4,65217.86
fine,lookup,1,500000,5,64942.28
fine,lookup,1,1000000,1,26216.63
fine,lookup,1,1000000,2,28386.71
fine,lookup,1,1000000,3,28944.32
fine,lookup,1,1000000,4,29305.97
fine,lookup,1,1000000,5,28273.03
fine,lookup,2,10000,1,43497172.68
fine,lookup,2,10000,2,45766590.39
fine,lookup,2,10000,3,47505938.24
fine,lookup,2,10000,4,43047783.04
fine,lookup,2,10000,5,29299736.3
fine,lookup,2,50000,1,6747000.96
fine,lookup,2,50000,2,4871917.29
fine,lookup,2,50000,3,6105080.65
fine,lookup,2,50000,4,6875214.85
fine,lookup,2,50000,5,6781224.15
fine,lookup,2,100000,1,2524615.0
fine,lookup,2,100000,2,2521190.61
fine,lookup,2,100000,3,2998293.97
fine,lookup,2,100000,4,2625602.25
fine,lookup,2,100000,5,2834410.88
fine,lookup,2,500000,1,98277.06
fine,lookup,2,500000,2,104603.51
fine,lookup,2,500000,3,103751.63
fine,lookup,2,500000,4,91919.42
fine,lookup,2,500000,5,99071.04
fine,lookup,2,1000000,1,50023.91
fine,lookup,2,1000000,2,52039.26
fine,lookup,2,1000000,3,47863.59
fine,lookup,2,1000000,4,49805.02
fine,lookup,2,1000000,5,44432.97
fine,lookup,4,10000,1,38865137.97
fine,lookup,4,10000,2,41476565.74
fine,lookup,4,10000,3,55648302.73
fine,lookup,4,10000,4,37037037.04
fine,lookup,4,10000,5,61199510.4
fine,lookup,4,50000,1,13138532.69
fine,lookup,4,50000,2,12194527.1
fine,lookup,4,50000,3,11004005.46
fine,lookup,4,50000,4,11885236.16
fine,lookup,4,50000,5,10524100.19
fine,lookup,4,100000,1,4154652.8
fine,lookup,4,100000,2,5378252.5
fine,lookup,4,100000,3,5377674.05
fine,lookup,4,100000,4,5174081.99
fine,lookup,4,100000,5,5286977.12
fine,lookup,4,500000,1,201564.11
fine,lookup,4,500000,2,203884.24
fine,lookup,4,500000,3,160936.09
fine,lookup,4,500000,4,217946.78
fine,lookup,4,500000,5,204619.98
fine,lookup,4,1000000,1,80767.63
fine,lookup,4,1000000,2,84858.44
fine,lookup,4,1000000,3,82690.11
fine,lookup,4,1000000,4,74646.35
fine,lookup,4,1000000,5,77073.84
fine,lookup,8,10000,1,72833211.94
fine,lookup,8,10000,2,61312078.48
fine,lookup,8,10000,3,63171193.94
fine,lookup,8,10000,4,65104166.67
fine,lookup,8,10000,5,77279752.7
fine,lookup,8,50000,1,22305496.07
fine,lookup,8,50000,2,18560451.39
fine,lookup,8,50000,3,19671099.22
fine,lookup,8,50000,4,20189783.97
fine,lookup,8,50000,5,20317769.92
fine,lookup,8,100000,1,7285337.53
fine,lookup,8,100000,2,8414250.37
fine,lookup,8,100000,3,8719992.33
fine,lookup,8,100000,4,8063930.84
fine,lookup,8,100000,5,8388206.18
fine,lookup,8,500000,1,458354.84
fine,lookup,8,500000,2,462791.56
fine,lookup,8,500000,3,414683.55
fine,lookup,8,500000,4,470977.12
fine,lookup,8,500000,5,321736.02
fine,lookup,8,1000000,1,149043.69
fine,lookup,8,1000000,2,153558.35
fine,lookup,8,1000000,3,149284.38
fine,lookup,8,1000000,4,141796.14
fine,lookup,8,1000000,5,156753.07
fine,lookup,16,10000,1,58207217.69
fine,lookup,16,10000,2,72306579.9
fine,lookup,16,10000,3,41254125.41
fine,lookup,16,10000,4,47824007.65
fine,lookup,16,10000,5,44782803.4
fine,lookup,16,50000,1,28282142.66
fine,lookup,16,50000,2,28149983.11
fine,lookup,16,50000,3,25488097.06
fine,lookup,16,50000,4,26679472.81
fine,lookup,16,50000,5,27320911.43
fine,lookup,16,100000,1,8192625.0
fine,lookup,16,100000,2,10377642.41
fine,lookup,16,100000,3,9823665.21
fine,lookup,16,100000,4,10754075.79
fine,lookup,16,100000,5,10567473.32
fine,lookup,16,500000,1,826620.35
fine,lookup,16,500000,2,812883.88
fine,lookup,16,500000,3,952998.13
fine,lookup,16,500000,4,748447.76
fine,lookup,16,500000,5,801577.5
fine,lookup,16,1000000,1,236887.17
fine,lookup,16,1000000,2,271312.84
fine,lookup,16,1000000,3,272012.77
fine,lookup,16,1000000,4,242230.42
fine,lookup,16,1000000,5,265722.79
fine,mixed,1,10000,1,23534949.4
fine,mixed,1,10000,2,21877050.97
